TreeID,Date,D60,DBH1,DBH2,DBH3,Point1,Point2,Point3,Point4,Point5,Pix.mm,ASPECT,NOTES, Coppice
QMUE922,9/3/2011,21.3,20.5,,,7.78,10.79,8.48,6.53,12.3,11.8,120,,
QMUE923,9/3/2011,34,34.9,,,27.61,20.93,9.69,7.4,24.03,11.8,155,,
QMUE924,9/3/2011,25.5,25.3,,,21.66,7.54,10.79,25.79,15.89,11.8,292,,
QMUE925,9/3/2011,16.6,15.8,,,12.52,8.8,5.28,10.25,9.09,11.6,186,,
QMUE926,9/4/2011,15.4,14.5,,,8.75,1.97,7.57,9.49,6.03,11.8,210,,
QMUE927,9/3/2011,55.5,55.1,,,31.17,27.35,39.25,32.18,26.26,11.8,270,,
QMUE928,9/4/2011,13.9,12.8,,,8.1,7.79,7.52,14.42,12.79,11.8,140,,
QMUE929,9/4/2011,19.5,18.4,,,18.27,22.82,15.18,7.76,16.63,11.8,80,,
QMUE930,9/4/2011,23,19.5,,,22.28,14.08,20.64,8.93,16.28,11.8,4,,
QPUN901,6/17/2011,7.6,8.2,4.8,4.6,1.33,1.3,2.19,2,2.29,11.8,356,,
QPUN902,6/17/2011,7,5,,,2.46,3.41,3.61,2.87,2.78,11.8,75,,
QPUN906,6/18/2011,6.7,4,,,3.69,3.8,4.33,4.76,3.06,11.7,,10 stems between 2 and 4 ,
QPUN907,6/19/2011,7.7,5.4,,,2.18,3.22,2.24,3.57,3.03,11.8,235,,
QPUN908,6/19/2011,8.2,2.1,,,3.48,3.31,2.2,1.74,1.49,11.6,,6 stems between 2.1 and 8,
QPUN909,6/19/2011,5.1,4.6,,,2.88,2.66,3.12,2.7,2.37,11.7,,"13 stems, 2 = 2.6, 2 = 2.5 9 >2",
QPUN910,6/19/2011,10.7,10.5,,,2.23,2.95,3.98,3.1,4.43,11.8,,,
QPUN911,6/19/2011,23.5,14.4,15.4,,7.41,5.25,7.09,8.14,7.18,11.8,,,
QEMO501,5/10/2011,35.6,34.1,,,13.27,7.31,15.6,7.06,3.41,11.5,75,,0
QEMO502,5/10/2011,14.2,12.4,,,9.65,9.36,10.64,3.7,7.57,11.7,0,,0
QEMO503,5/12/2011,11.8,5.8,5.8,,11.08,5.5,10.61,1.85,8.15,11.2,,,1
QEMO504,5/12/2011,27.9,25.8,,,18.55,2.65,16.56,11.79,17.8,11.8,,,0
QEMO505,5/12/2011,22.2,19.7,,,3.5,11.11,3.79,19.94,6.25,11.8,,,0
QEMO506,5/13/2011,13.4,8.1,,,14.92,3.17,17.69,3.88,17.08,11.8,133,,0
QEMO508,5/13/2011,10.7,9.8,,,1.94,8.28,6.5,9.65,8.71,11.4,240,,0
QEMO509,5/13/2011,21,11.2,15.5,,13.31,11.42,3.69,9.55,3.07,11.8,170,,1
QEMO510,5/13/2011,15,12.6,,,16.29,11.03,18.38,3.96,15.22,11.5,228,,0
QEMO512,5/13/2011,16.2,11.1,,,11.64,17.09,8.78,14.46,8.05,11.6,110,,0
QEMO513,5/13/2011,18.3,14.8,,,11.84,12.94,15.95,8.09,11.78,11.7,252,,0
QEMO514,5/13/2011,27.3,25.8,,,20.48,20.84,17.05,18.94,21.24,11.8,202,,0
QEMO515,5/16/2011,20.9,20.1,,,8.88,8.35,8.78,5.61,8.54,11.8,12,,0
